#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Africa,#genre#
[VGA]canal 2,https://stream1.freetv.fun/canal-2-1.m3u8
[HD]diaspora 24,https://stream1.freetv.fun/diaspora-24-1.m3u8
[HD]gandan tv,https://stream1.freetv.fun/gandan-tv-1.m3u8
[VGA]gtv,https://stream1.freetv.fun/gtv-3.m3u8
[BD]lgtv,https://stream1.freetv.fun/lgtv-1.m3u8
[VGA]abn africa (480p),https://stream1.freetv.fun/abn-africa-1.m3u8
[VGA]sukan tv,https://stream1.freetv.fun/sukan-tv-1.m3u8
[BD]sun tv,https://stream1.freetv.fun/sun-tv-4.m3u8
[HD]tvc,https://stream1.freetv.fun/tvc-2.m3u8
Albania,#genre#
[BD]kohavision,https://stream1.freetv.fun/kohavision-2.m3u8
[BD]kohavision,https://stream1.freetv.fun/kohavision-1.m3u8
[HD]rtv 21 albania,https://stream1.freetv.fun/rtv-21-albania-1.m3u8
[BD]rtv,https://stream1.freetv.fun/rtv-3.m3u8
[BD]supersports 2,https://stream1.freetv.fun/supersports-2-1.ctv
[HD]supersports 3,https://stream1.freetv.fun/supersports-3-1.ctv
[HD]supersports 4,https://stream1.freetv.fun/supersports-4-1.ctv
Algeria,#genre#
[HD]daai tv,https://stream1.freetv.fun/daai-tv-1.m3u8
[HD]lex tv,https://stream1.freetv.fun/lex-tv-1.m3u8
[VGA]medi 1 tv maghreb,https://stream1.freetv.fun/medi-1-tv-maghreb-1.m3u8
Argentina,#genre#
[HD]angel tv america,https://stream1.freetv.fun/angel-tv-america-1.m3u8
[BD]voice of america,https://stream1.freetv.fun/voice-of-america-2.m3u8
[HD]ช่อง naughty america,https://stream1.freetv.fun/ch-ng-naughty-america-1.m3u8
[HD]amrita tv,https://stream1.freetv.fun/amrita-tv-1.m3u8
[BD]voice of america,https://stream1.freetv.fun/voice-of-america-1.m3u8
[VGA]america tv alt,https://stream1.freetv.fun/america-tv-alt-1.m3u8
[BD]canal 26,https://stream1.freetv.fun/canal-26-2.m3u8
[HD]canal orbe 21,https://stream1.freetv.fun/canal-orbe-21-1.m3u8
[BD]canal rural,https://stream1.freetv.fun/canal-rural-2.m3u8
[BD]love magazine,https://stream1.freetv.fun/love-magazine-1.m3u8
[HD]mtc tv,https://stream1.freetv.fun/mtc-tv-1.m3u8
[BD]telemax,https://stream1.freetv.fun/telemax-1.m3u8
[BD]telemax,https://stream1.freetv.fun/telemax-4.m3u8
[BD]telemax,https://stream1.freetv.fun/telemax-2.m3u8
Armenia,#genre#
[SD]3abn kids,https://stream1.freetv.fun/3abn-kids-1.m3u8
[HD]3abn kids,https://stream1.freetv.fun/3abn-kids-2.m3u8
